cluster,pdb_num
Cluster 1381,1
Cluster 1379,1
Cluster 1375,1
Cluster 1374,1
Cluster 1370,1
Cluster 1369,1
Cluster 1368,1
Cluster 1364,1
Cluster 1363,1
Cluster 1359,1
Cluster 1297,1
Cluster 1293,1
Cluster 1291,1
Cluster 1233,1
Cluster 1231,1
Cluster 1229,1
Cluster 1220,1
Cluster 1217,1
Cluster 1216,1
Cluster 1211,1
Cluster 1210,1
Cluster 1209,1
Cluster 1208,1
Cluster 1207,1
Cluster 1202,1
Cluster 1201,1
Cluster 1200,1
Cluster 1199,1
Cluster 1198,1
Cluster 1196,1
Cluster 1194,1
Cluster 1190,1
Cluster 1188,1
Cluster 1185,1
Cluster 1183,1
Cluster 1181,1
Cluster 1235,1
Cluster 1237,1
Cluster 1238,1
Cluster 1242,1
Cluster 1287,1
Cluster 1286,1
Cluster 1285,1
Cluster 1284,1
Cluster 1283,1
Cluster 1282,1
Cluster 1281,1
Cluster 1280,1
Cluster 1279,1
Cluster 1276,1
Cluster 1271,1
Cluster 1176,1
Cluster 1266,1
Cluster 1262,1
Cluster 1261,1
Cluster 1259,1
Cluster 1258,1
Cluster 1256,1
Cluster 1254,1
Cluster 1252,1
Cluster 1247,1
Cluster 1246,1
Cluster 1245,1
Cluster 1243,1
Cluster 1263,1
Cluster 882,1
Cluster 1796,1
Cluster 1798,1
Cluster 2210,1
Cluster 2209,1
Cluster 2208,1
Cluster 2207,1
Cluster 2206,1
Cluster 2205,1
Cluster 2204,1
Cluster 2203,1
Cluster 2202,1
Cluster 2201,1
Cluster 2200,1
Cluster 2199,1
Cluster 2198,1
Cluster 2197,1
Cluster 2196,1
Cluster 2195,1
Cluster 2194,1
Cluster 2193,1
Cluster 2190,1
Cluster 2188,1
Cluster 2187,1
Cluster 2186,1
Cluster 2185,1
Cluster 2211,1
Cluster 2184,1
Cluster 2212,1
Cluster 2214,1
Cluster 2239,1
Cluster 2238,1
Cluster 2237,1
Cluster 2236,1
Cluster 2235,1
Cluster 2233,1
Cluster 2232,1
Cluster 2231,1
Cluster 2230,1
Cluster 2229,1
Cluster 2228,1
Cluster 2226,1
Cluster 2225,1
Cluster 2224,1
Cluster 2223,1
Cluster 2222,1
Cluster 2221,1
Cluster 2220,1
Cluster 2219,1
Cluster 2218,1
Cluster 2217,1
Cluster 2216,1
Cluster 2215,1
Cluster 2213,1
Cluster 2240,1
Cluster 2183,1
Cluster 2181,1
Cluster 2146,1
Cluster 2145,1
Cluster 2144,1
Cluster 2143,1
Cluster 2142,1
Cluster 2138,1
Cluster 2137,1
Cluster 2136,1
Cluster 2135,1
Cluster 2134,1
Cluster 2133,1
Cluster 2132,1
Cluster 2131,1
Cluster 2130,1
Cluster 2129,1
Cluster 2128,1
Cluster 2127,1
Cluster 2126,1
Cluster 2125,1
Cluster 2124,1
Cluster 2123,1
Cluster 2122,1
Cluster 2120,1
Cluster 2147,1
Cluster 2182,1
Cluster 2149,1
Cluster 2151,1
Cluster 2180,1
Cluster 2179,1
Cluster 2178,1
Cluster 2177,1
Cluster 2176,1
Cluster 2175,1
Cluster 2174,1
Cluster 2173,1
Cluster 2172,1
Cluster 2171,1
Cluster 2170,1
Cluster 2169,1
Cluster 2167,1
Cluster 2166,1
Cluster 2165,1
Cluster 2164,1
Cluster 2162,1
Cluster 2160,1
Cluster 2156,1
Cluster 2155,1
Cluster 2154,1
Cluster 2153,1
Cluster 2152,1
Cluster 2150,1
Cluster 2241,1
Cluster 2242,1
Cluster 2243,1
Cluster 2329,1
Cluster 2328,1
Cluster 2327,1
Cluster 2326,1
Cluster 2325,1
Cluster 2324,1
Cluster 2322,1
Cluster 2321,1
Cluster 2319,1
Cluster 2318,1
Cluster 2317,1
Cluster 2316,1
Cluster 2315,1
Cluster 2314,1
Cluster 2313,1
Cluster 2312,1
Cluster 2311,1
Cluster 2310,1
Cluster 2309,1
Cluster 2308,1
Cluster 2307,1
Cluster 2306,1
Cluster 2305,1
Cluster 2330,1
Cluster 2304,1
Cluster 2331,1
Cluster 2333,1
Cluster 2356,1
Cluster 2355,1
Cluster 2354,1
Cluster 2353,1
Cluster 2352,1
Cluster 2351,1
Cluster 2350,1
Cluster 2349,1
Cluster 2348,1
Cluster 2347,1
Cluster 2346,1
Cluster 2345,1
Cluster 2344,1
Cluster 2343,1
Cluster 2342,1
Cluster 2341,1
Cluster 2340,1
Cluster 2339,1
Cluster 2338,1
Cluster 2337,1
Cluster 2336,1
Cluster 2335,1
Cluster 2334,1
Cluster 2332,1
Cluster 2303,1
Cluster 2302,1
Cluster 2301,1
Cluster 2269,1
Cluster 2268,1
Cluster 2267,1
Cluster 2266,1
Cluster 2265,1
Cluster 2263,1
Cluster 2262,1
Cluster 2261,1
Cluster 2260,1
Cluster 2259,1
Cluster 2258,1
Cluster 2257,1
Cluster 2256,1
Cluster 2254,1
Cluster 2253,1
Cluster 2252,1
Cluster 2251,1
Cluster 2250,1
Cluster 2249,1
Cluster 2247,1
Cluster 2246,1
Cluster 2245,1
Cluster 2244,1
Cluster 2271,1
Cluster 2272,1
Cluster 2273,1
Cluster 2274,1
Cluster 2300,1
Cluster 2298,1
Cluster 2297,1
Cluster 2296,1
Cluster 2295,1
Cluster 2294,1
Cluster 2293,1
Cluster 2292,1
Cluster 2291,1
Cluster 2290,1
Cluster 2289,1
Cluster 2119,1
Cluster 2288,1
Cluster 2286,1
Cluster 2285,1
Cluster 2284,1
Cluster 2283,1
Cluster 2282,1
Cluster 2281,1
Cluster 2280,1
Cluster 2279,1
Cluster 2278,1
Cluster 2277,1
Cluster 2275,1
Cluster 2287,1
Cluster 2116,1
Cluster 2115,1
Cluster 2114,1
Cluster 1918,1
Cluster 1917,1
Cluster 1915,1
Cluster 1914,1
Cluster 1913,1
Cluster 1912,1
Cluster 1910,1
Cluster 1909,1
Cluster 1907,1
Cluster 1904,1
Cluster 1902,1
Cluster 1901,1
Cluster 1900,1
Cluster 1898,1
Cluster 1897,1
Cluster 1896,1
Cluster 1893,1
Cluster 1892,1
Cluster 1891,1
Cluster 1890,1
Cluster 1887,1
Cluster 1885,1
Cluster 1884,1
Cluster 1919,1
Cluster 1881,1
Cluster 1920,1
Cluster 1922,1
Cluster 1958,1
Cluster 1957,1
Cluster 1956,1
Cluster 1955,1
Cluster 1954,1
Cluster 1952,1
Cluster 1951,1
Cluster 1947,1
Cluster 1946,1
Cluster 1944,1
Cluster 1943,1
Cluster 1942,1
Cluster 1936,1
Cluster 1935,1
Cluster 1932,1
Cluster 1931,1
Cluster 1930,1
Cluster 1929,1
Cluster 1928,1
Cluster 1927,1
Cluster 1926,1
Cluster 1925,1
Cluster 1923,1
Cluster 1921,1
Cluster 1880,1
Cluster 1879,1
Cluster 1877,1
Cluster 1834,1
Cluster 1833,1
Cluster 1832,1
Cluster 1831,1
Cluster 1830,1
Cluster 1825,1
Cluster 1824,1
Cluster 1822,1
Cluster 1821,1
Cluster 1820,1
Cluster 1819,1
Cluster 1815,1
Cluster 1813,1
Cluster 1811,1
Cluster 1810,1
Cluster 1809,1
Cluster 1808,1
Cluster 1807,1
Cluster 1806,1
Cluster 1805,1
Cluster 1802,1
Cluster 1801,1
Cluster 1799,1
Cluster 1835,1
Cluster 1838,1
Cluster 1839,1
Cluster 1840,1
Cluster 1876,1
Cluster 1875,1
Cluster 1874,1
Cluster 1872,1
Cluster 1871,1
Cluster 1870,1
Cluster 1869,1
Cluster 1868,1
Cluster 1867,1
Cluster 1863,1
Cluster 1861,1
Cluster 1959,1
Cluster 1859,1
Cluster 1855,1
Cluster 1854,1
Cluster 1852,1
Cluster 1851,1
Cluster 1850,1
Cluster 1849,1
Cluster 1848,1
Cluster 1846,1
Cluster 1845,1
Cluster 1842,1
Cluster 1841,1
Cluster 1856,1
Cluster 1797,1
Cluster 1960,1
Cluster 1967,1
Cluster 2073,1
Cluster 2071,1
Cluster 2070,1
Cluster 2068,1
Cluster 2066,1
Cluster 2065,1
Cluster 2064,1
Cluster 2063,1
Cluster 2062,1
Cluster 2060,1
Cluster 2059,1
Cluster 2058,1
Cluster 2056,1
Cluster 2053,1
Cluster 2051,1
Cluster 2050,1
Cluster 2049,1
Cluster 2047,1
Cluster 2046,1
Cluster 2045,1
Cluster 2044,1
Cluster 2043,1
Cluster 2042,1
Cluster 2076,1
Cluster 2041,1
Cluster 2077,1
Cluster 2081,1
Cluster 2113,1
Cluster 2112,1
Cluster 2111,1
Cluster 2110,1
Cluster 2109,1
Cluster 2108,1
Cluster 2107,1
Cluster 2106,1
Cluster 2104,1
Cluster 2103,1
Cluster 2102,1
Cluster 2101,1
Cluster 2100,1
Cluster 2099,1
Cluster 2093,1
Cluster 2092,1
Cluster 2090,1
Cluster 2089,1
Cluster 2088,1
Cluster 2087,1
Cluster 2086,1
Cluster 2084,1
Cluster 2083,1
Cluster 2080,1
Cluster 2040,1
Cluster 2039,1
Cluster 2037,1
Cluster 2000,1
Cluster 1998,1
Cluster 1996,1
Cluster 1995,1
Cluster 1994,1
Cluster 1992,1
Cluster 1990,1
Cluster 1989,1
Cluster 1988,1
Cluster 1986,1
Cluster 1985,1
Cluster 1983,1
Cluster 1982,1
Cluster 1981,1
Cluster 1980,1
Cluster 1979,1
Cluster 1977,1
Cluster 1976,1
Cluster 1975,1
Cluster 1974,1
Cluster 1972,1
Cluster 1970,1
Cluster 1968,1
Cluster 2001,1
Cluster 2002,1
Cluster 2003,1
Cluster 2004,1
Cluster 2036,1
Cluster 2035,1
Cluster 2034,1
Cluster 2033,1
Cluster 2032,1
Cluster 2028,1
Cluster 2027,1
Cluster 2026,1
Cluster 2025,1
Cluster 2024,1
Cluster 2023,1
Cluster 1962,1
Cluster 2022,1
Cluster 2020,1
Cluster 2018,1
Cluster 2017,1
Cluster 2015,1
Cluster 2014,1
Cluster 2012,1
Cluster 2011,1
Cluster 2010,1
Cluster 2009,1
Cluster 2008,1
Cluster 2005,1
Cluster 2021,1
Cluster 869,1
Cluster 2358,1
Cluster 808,1
Cluster 283,1
Cluster 540,1
Cluster 668,1
Cluster 537,1
Cluster 294,1
Cluster 805,1
Cluster 804,1
Cluster 670,1
Cluster 536,1
Cluster 304,1
Cluster 801,1
Cluster 281,1
Cluster 673,1
Cluster 525,1
Cluster 797,1
Cluster 310,1
Cluster 524,1
Cluster 795,1
Cluster 315,1
Cluster 677,1
Cluster 521,1
Cluster 793,1
Cluster 321,1
Cluster 791,1
Cluster 526,1
Cluster 814,1
Cluster 816,1
Cluster 663,1
Cluster 237,1
Cluster 648,1
Cluster 828,1
Cluster 557,1
Cluster 649,1
Cluster 650,1
Cluster 826,1
Cluster 247,1
Cluster 651,1
Cluster 652,1
Cluster 253,1
Cluster 823,1
Cluster 821,1
Cluster 254,1
Cluster 554,1
Cluster 550,1
Cluster 258,1
Cluster 657,1
Cluster 548,1
Cluster 659,1
Cluster 270,1
Cluster 661,1
Cluster 271,1
Cluster 275,1
Cluster 546,1
Cluster 323,1
Cluster 503,1
Cluster 502,1
Cluster 500,1
Cluster 722,1
Cluster 724,1
Cluster 764,1
Cluster 444,1
Cluster 762,1
Cluster 438,1
Cluster 434,1
Cluster 377,1
Cluster 730,1
Cluster 383,1
Cluster 731,1
Cluster 757,1
Cluster 430,1
Cluster 428,1
Cluster 426,1
Cluster 753,1
Cluster 391,1
Cluster 420,1
Cluster 602,1
Cluster 395,1
Cluster 746,1
Cluster 401,1
Cluster 402,1
Cluster 414,1
Cluster 740,1
Cluster 721,1
Cluster 647,1
Cluster 720,1
Cluster 452,1
Cluster 789,1
Cluster 497,1
Cluster 787,1
Cluster 496,1
Cluster 333,1
Cluster 784,1
Cluster 495,1
Cluster 694,1
Cluster 781,1
Cluster 779,1
Cluster 777,1
Cluster 704,1
Cluster 706,1
Cluster 347,1
Cluster 353,1
Cluster 708,1
Cluster 356,1
Cluster 358,1
Cluster 472,1
Cluster 359,1
Cluster 471,1
Cluster 767,1
Cluster 716,1
Cluster 466,1
Cluster 454,1
Cluster 450,1
Cluster 830,1
Cluster 410,1
Cluster 613,1
Cluster 159,1
Cluster 161,1
Cluster 625,1
Cluster 841,1
Cluster 844,1
Cluster 862,1
Cluster 640,1
Cluster 866,1
Cluster 595,1
Cluster 60,1
Cluster 617,1
Cluster 64,1
Cluster 112,1
Cluster 199,1
Cluster 591,1
Cluster 856,1
Cluster 197,1
Cluster 109,1
Cluster 568,1
Cluster 124,1
Cluster 855,1
Cluster 864,1
Cluster 93,1
Cluster 854,1
Cluster 185,1
Cluster 575,1
Cluster 627,1
Cluster 54,1
Cluster 566,1
Cluster 842,1
Cluster 181,1
Cluster 834,1
Cluster 859,1
Cluster 221,1
Cluster 836,1
Cluster 563,1
Cluster 17,1
Cluster 230,1
Cluster 858,1
Cluster 605,1
Cluster 599,1
Cluster 127,1
Cluster 138,1
Cluster 583,1
Cluster 603,1
Cluster 646,1
Cluster 643,1
Cluster 1745,2
Cluster 1715,2
Cluster 485,2
Cluster 1306,2
Cluster 1750,2
Cluster 1752,2
Cluster 615,2
Cluster 1748,2
Cluster 470,2
Cluster 1488,2
Cluster 1489,2
Cluster 1720,2
Cluster 1290,2
Cluster 1742,2
Cluster 1480,2
Cluster 1292,2
Cluster 705,2
Cluster 1735,2
Cluster 1736,2
Cluster 477,2
Cluster 461,2
Cluster 1483,2
Cluster 1738,2
Cluster 1296,2
Cluster 1556,2
Cluster 1727,2
Cluster 1550,2
Cluster 1739,2
Cluster 482,2
Cluster 1722,2
Cluster 1486,2
Cluster 559,2
Cluster 1268,2
Cluster 1234,2
Cluster 1507,2
Cluster 423,2
Cluster 1508,2
Cluster 597,2
Cluster 1812,2
Cluster 421,2
Cluster 1227,2
Cluster 1514,2
Cluster 1803,2
Cluster 1816,2
Cluster 1224,2
Cluster 1817,2
Cluster 1515,2
Cluster 1222,2
Cluster 1523,2
Cluster 1818,2
Cluster 1826,2
Cluster 1827,2
Cluster 1521,2
Cluster 1225,2
Cluster 429,2
Cluster 1505,2
Cluster 1800,2
Cluster 1766,2
Cluster 1490,2
Cluster 585,2
Cluster 1777,2
Cluster 1546,2
Cluster 1778,2
Cluster 588,2
Cluster 446,2
Cluster 1255,2
Cluster 1781,2
Cluster 1496,2
Cluster 1783,2
Cluster 1784,2
Cluster 1537,2
Cluster 1791,2
Cluster 1501,2
Cluster 1536,2
Cluster 1244,2
Cluster 1241,2
Cluster 1240,2
Cluster 1504,2
Cluster 1765,2
Cluster 1713,2
Cluster 690,2
Cluster 1711,2
Cluster 1442,2
Cluster 1395,2
Cluster 1621,2
Cluster 567,2
Cluster 641,2
Cluster 1591,2
Cluster 1626,2
Cluster 1589,2
Cluster 1627,2
Cluster 541,2
Cluster 1386,2
Cluster 1385,2
Cluster 1448,2
Cluster 1631,2
Cluster 1588,2
Cluster 1633,2
Cluster 1634,2
Cluster 1829,2
Cluster 638,2
Cluster 1587,2
Cluster 635,2
Cluster 1397,2
Cluster 1377,2
Cluster 547,2
Cluster 564,2
Cluster 1427,2
Cluster 1423,2
Cluster 1421,2
Cluster 1429,2
Cluster 1420,2
Cluster 1602,2
Cluster 1418,2
Cluster 1599,2
Cluster 1416,2
Cluster 1414,2
Cluster 1598,2
Cluster 653,2
Cluster 1610,2
Cluster 1408,2
Cluster 1434,2
Cluster 1596,2
Cluster 1407,2
Cluster 1437,2
Cluster 1438,2
Cluster 1404,2
Cluster 1439,2
Cluster 1399,2
Cluster 1712,2
Cluster 1376,2
Cluster 1454,2
Cluster 1675,2
Cluster 1567,2
Cluster 684,2
Cluster 1678,2
Cluster 686,2
Cluster 1682,2
Cluster 1331,2
Cluster 1329,2
Cluster 1566,2
Cluster 1327,2
Cluster 1565,2
Cluster 1562,2
Cluster 1425,2
Cluster 1560,2
Cluster 1559,2
Cluster 1700,2
Cluster 1557,2
Cluster 1316,2
Cluster 488,2
Cluster 1709,2
Cluster 1313,2
Cluster 511,2
Cluster 1638,2
Cluster 1470,2
Cluster 1345,2
Cluster 1582,2
Cluster 1641,2
Cluster 1460,2
Cluster 1576,2
Cluster 1371,2
Cluster 574,2
Cluster 1649,2
Cluster 1366,2
Cluster 1464,2
Cluster 1571,2
Cluster 1362,2
Cluster 1468,2
Cluster 1358,2
Cluster 578,2
Cluster 1356,2
Cluster 1354,2
Cluster 517,2
Cluster 1350,2
Cluster 1349,2
Cluster 1671,2
Cluster 512,2
Cluster 682,2
Cluster 551,2
Cluster 1520,2
Cluster 1836,2
Cluster 262,2
Cluster 2048,2
Cluster 1017,2
Cluster 261,2
Cluster 2052,2
Cluster 2054,2
Cluster 2057,2
Cluster 2061,2
Cluster 250,2
Cluster 249,2
Cluster 2067,2
Cluster 2069,2
Cluster 1000,2
Cluster 2074,2
Cluster 2078,2
Cluster 827,2
Cluster 2079,2
Cluster 989,2
Cluster 2082,2
Cluster 235,2
Cluster 234,2
Cluster 2091,2
Cluster 980,2
Cluster 979,2
Cluster 2095,2
Cluster 2096,2
Cluster 2097,2
Cluster 1021,2
Cluster 2038,2
Cluster 2031,2
Cluster 2030,2
Cluster 1082,2
Cluster 1969,2
Cluster 1079,2
Cluster 1077,2
Cluster 1971,2
Cluster 1973,2
Cluster 1072,2
Cluster 317,2
Cluster 1070,2
Cluster 1069,2
Cluster 1068,2
Cluster 316,2
Cluster 1064,2
Cluster 2098,2
Cluster 309,2
Cluster 1058,2
Cluster 1213,2
Cluster 1993,2
Cluster 800,2
Cluster 301,2
Cluster 802,2
Cluster 2007,2
Cluster 2013,2
Cluster 2016,2
Cluster 280,2
Cluster 1033,2
Cluster 1032,2
Cluster 2029,2
Cluster 798,2
Cluster 227,2
Cluster 2105,2
Cluster 837,2
Cluster 861,2
Cluster 114,2
Cluster 907,2
Cluster 863,2
Cluster 107,2
Cluster 2248,2
Cluster 901,2
Cluster 101,2
Cluster 2255,2
Cluster 92,2
Cluster 893,2
Cluster 2264,2
Cluster 2270,2
Cluster 2234,2
Cluster 2276,2
Cluster 865,2
Cluster 884,2
Cluster 2299,2
Cluster 44,2
Cluster 43,2
Cluster 2320,2
Cluster 878,2
Cluster 877,2
Cluster 876,2
Cluster 2323,2
Cluster 32,2
Cluster 6,2
Cluster 871,2
Cluster 67,2
Cluster 790,2
Cluster 912,2
Cluster 133,2
Cluster 968,2
Cluster 967,2
Cluster 966,2
Cluster 2117,2
Cluster 2118,2
Cluster 2121,2
Cluster 955,2
Cluster 207,2
Cluster 846,2
Cluster 2139,2
Cluster 2141,2
Cluster 190,2
Cluster 2148,2
Cluster 2227,2
Cluster 944,2
Cluster 942,2
Cluster 941,2
Cluster 2157,2
Cluster 2159,2
Cluster 853,2
Cluster 2161,2
Cluster 2163,2
Cluster 2168,2
Cluster 928,2
Cluster 162,2
Cluster 2189,2
Cluster 2191,2
Cluster 143,2
Cluster 188,2
Cluster 1085,2
Cluster 1991,2
Cluster 1911,2
Cluster 351,2
Cluster 1130,2
Cluster 374,2
Cluster 344,2
Cluster 763,2
Cluster 1126,2
Cluster 1124,2
Cluster 1123,2
Cluster 1883,2
Cluster 772,2
Cluster 1172,2
Cluster 1882,2
Cluster 379,2
Cluster 1878,2
Cluster 1120,2
Cluster 1873,2
Cluster 773,2
Cluster 384,2
Cluster 1180,2
Cluster 1117,2
Cluster 1937,2
Cluster 1167,2
Cluster 1864,2
Cluster 1165,2
Cluster 1164,2
Cluster 1895,2
Cluster 368,2
Cluster 1899,2
Cluster 1153,2
Cluster 365,2
Cluster 1151,2
Cluster 1889,2
Cluster 1888,2
Cluster 1162,2
Cluster 1149,2
Cluster 363,2
Cluster 1905,2
Cluster 1146,2
Cluster 1906,2
Cluster 1163,2
Cluster 1143,2
Cluster 1908,2
Cluster 1966,2
Cluster 1140,2
Cluster 1138,2
Cluster 1137,2
Cluster 355,2
Cluster 1184,2
Cluster 774,2
Cluster 1938,2
Cluster 1857,2
Cluster 1853,2
Cluster 1115,2
Cluster 1950,2
Cluster 1953,2
Cluster 329,2
Cluster 397,2
Cluster 1096,2
Cluster 328,2
Cluster 1093,2
Cluster 1847,2
Cluster 1844,2
Cluster 326,2
Cluster 1091,2
Cluster 1843,2
Cluster 744,2
Cluster 1961,2
Cluster 407,2
Cluster 1964,2
Cluster 1193,2
Cluster 1860,2
Cluster 1949,2
Cluster 780,2
Cluster 1941,2
Cluster 1186,2
Cluster 1945,2
Cluster 1939,2
Cluster 1948,2
Cluster 1187,2
Cluster 1113,2
Cluster 755,2
Cluster 1862,2
Cluster 1578,3
Cluster 2158,3
Cluster 1865,3
Cluster 573,3
Cluster 1804,3
Cluster 1823,3
